密度,含糖率,好瓜
0.690,0.460,1
0.779,0.376,1
0.630,0.264,1
0.600,0.318,1
0.549,0.215,1
0.413,0.237,1
0.489,0.149,1
0.445,0.211,1
0.660,0.091,0
0.243,0.267,0
0.245,0.057,0
0.343,0.105,0
0.639,0.169,0
0.657,0.186,0
0.360,0.370,0
0.593,0.042,0
0.719,0.113,0
0.697,0.450,1
0.774,0.376,1
0.634,0.264,1
0.608,0.318,1
0.556,0.205,1
0.403,0.230,1
0.481,0.149,1
0.437,0.211,1
0.666,0.091,0
0.243,0.267,0
0.245,0.157,0
0.343,0.099,0
0.639,0.161,0
0.657,0.198,0
0.360,0.370,0
0.693,0.042,0
0.719,0.103,0
0.697,0.460,1
0.774,0.376,1
0.634,0.264,1
0.608,0.318,1
0.556,0.255,1
0.423,0.237,1
0.481,0.149,1
0.437,0.211,1
0.696,0.191,0
0.283,0.267,0
0.245,0.057,0
0.343,0.199,0
0.639,0.181,0
0.657,0.198,0
0.360,0.379,0
0.593,0.042,0
0.682,0.163,0
